player_id,total_finishing,total_chance_creation,total_ball_progression,total_dribbling,total_ball_winning,total_defensive_actions,total_passing_accuracy,total_long_passing,total_events,matches_played,player_name,position,season_avg_x,events_per_match,estimated_minutes_per_match,estimated_total_minutes,finishing_per90,chance_creation_per90,ball_progression_per90,dribbling_per90,ball_winning_per90,defensive_actions_per90,passing_accuracy_per90,long_passing_per90,finishing_rating,chance_creation_rating,ball_progression_rating,dribbling_rating,ball_winning_rating,defensive_actions_rating,passing_accuracy_rating,long_passing_rating,overall_rating,within_position_overall
1268,13.5,149.0,186.5,32.5,97.5,106.9,228.7,14.5,1387,15,Christian Günter,midfielder,3.3149963423555233,92.46666666666667,90.0,1350.0,0.9,9.933333333333334,12.433333333333334,2.1666666666666665,6.499999999999999,7.126666666666667,15.246666666666666,0.9666666666666666,44.7,93.3,42.1,23.4,38.3,57.9,48.8,,51.8,48.3
200,3.8,33.0,319.5,57.0,64.0,110.2,253.9,50.5,1368,8,Thomas Meunier,midfielder,-6.576401179941003,171.0,90.0,720.0,0.47500000000000003,4.125,39.9375,7.125,8.0,13.775,31.7375,6.3125,29.2,62.7,98.0,94.7,54.3,97.1,87.5,,79.0,90.2
21558,74.5,173.0,562.5,88.0,340.5,279.9,511.9,79.5,3328,30,Robin Gosens,midfielder,0.8142200429053018,110.93333333333334,90.0,2700.0,2.4833333333333334,5.766666666666667,18.75,2.933333333333333,11.350000000000001,9.329999999999998,17.063333333333333,2.65,86.1,79.9,70.3,44.5,83.2,79.9,59.3,,71.2,82.0
3772,11.8,0.0,580.0,109.5,423.5,473.6,569.8,178.0,3522,25,Marco Friedl,defender,-19.32985374247204,140.88,90.0,2250.0,0.47200000000000003,0.0,23.2,4.38,16.94,18.944,22.791999999999998,7.119999999999999,,,39.2,,95.1,93.1,61.8,72.5,78.9,87.2
106970,14.4,49.0,574.0,91.5,254.0,329.5,424.6,115.5,3027,26,Matej Maglica,defender,-15.189450770261217,116.42307692307692,90.0,2340.0,0.5538461538461539,1.8846153846153846,22.076923076923077,3.519230769230769,9.76923076923077,12.673076923076923,16.33076923076923,4.4423076923076925,,,31.4,,50.0,57.8,38.2,41.2,47.0,52.0
49562,10.9,58.0,835.0,170.0,254.5,249.5,912.3,108.5,4208,22,Odilon Kossounou,midfielder,-2.9188007644529383,191.27272727272728,90.0,1980.0,0.4954545454545454,2.6363636363636367,37.95454545454545,7.727272727272727,11.568181818181818,11.340909090909092,41.46818181818182,4.931818181818182,29.7,43.0,96.6,96.6,85.1,90.9,94.7,,80.2,92.1
66772,194.9,74.0,213.0,164.0,71.5,48.800000000000004,202.3,15.5,1694,23,Victor Boniface,forward,17.230269607843137,73.65217391304348,90.0,2070.0,8.47391304347826,3.217391304347826,9.26086956521739,7.130434782608696,3.108695652173913,2.121739130434783,8.795652173913044,0.6739130434782609,94.4,35.3,70.6,89.9,,,,,74.6,81.9
9536,23.8,36.0,53.0,28.0,28.0,26.4,73.2,10.0,585,13,Aymen Barkok,forward,11.088752196836555,45.0,90.0,1170.0,1.830769230769231,2.769230769230769,4.076923076923077,2.153846153846154,2.153846153846154,2.0307692307692307,5.630769230769231,0.7692307692307693,34.1,27.3,19.3,19.3,,,,,28.4,20.5
15811,94.8,207.0,357.0,124.0,231.0,188.7,386.3,31.0,2702,30,Ritsu Doan,midfielder,7.197663903541823,90.06666666666666,90.0,2700.0,3.1599999999999997,6.8999999999999995,11.899999999999999,4.133333333333333,7.699999999999999,6.29,12.876666666666667,1.0333333333333332,93.3,84.2,38.3,67.4,51.7,48.3,38.7,,55.7,54.5
5774,16.4,13.0,682.0,102.5,289.5,327.3,795.9,152.0,4044,19,Dan-Axel Zagadou,defender,-15.204895626242545,212.8421052631579,90.0,1710.0,0.863157894736842,0.6842105263157895,35.89473684210526,5.394736842105263,15.236842105263158,17.226315789473684,41.88947368421052,8.0,,,76.5,,92.1,85.3,94.1,79.4,86.5,94.1
